,value,supplier_name,publish_date,agency_name
5198,11370.0,DLA PHILLIPS FOX,2008-07-22,Department of Infrastructure Transport Regional Development and Local Government
5200,54966.41,VIC SMITH INVESTMENT TRUST,2008-07-22,Department of Infrastructure Transport Regional Development and Local Government
5202,14850.0,AMBIT GROUP PTY LTD,2008-07-22,Department of Infrastructure Transport Regional Development and Local Government
5206,2341900.0,OPTUS BILLING SERVICES PTY LTD,2008-07-22,Department of Infrastructure Transport Regional Development and Local Government
5208,11959.22,AUST GOVT SOLICITOR-CENTRAL OFF,2008-07-22,Department of Infrastructure Transport Regional Development and Local Government
10092,50000.0,SIRVA Pty Ltd,2008-07-28,Department of Infrastructure Transport Regional Development and Local Government
10094,70000.0,DATA#3 LTD,2008-07-28,Department of Infrastructure Transport Regional Development and Local Government
10096,200000.0,TELSTRA,2008-07-28,Department of Infrastructure Transport Regional Development and Local Government
10098,33897.34,LeasePlan Australia Ltd,2008-07-28,Department of Infrastructure Transport Regional Development and Local Government
10100,1179559.7,Canberra Contract Furniture,2008-07-28,Department of Infrastructure Transport Regional Development and Local Government
10102,100000.0,DATA#3 LTD,2008-07-28,Department of Infrastructure Transport Regional Development and Local Government
10104,80000.0,SME GATEWAY LTD,2008-07-28,Department of Infrastructure Transport Regional Development and Local Government
10106,260000.0,Frontier Group Australia Pty Ltd,2008-07-28,Department of Infrastructure Transport Regional Development and Local Government
10110,260000.0,SMS Consulting Group Ltd,2008-07-28,Department of Infrastructure Transport Regional Development and Local Government
10112,260000.0,Peoplebank Australia Ltd,2008-07-28,Department of Infrastructure Transport Regional Development and Local Government
10114,260000.0,SMS Consulting Group Ltd,2008-07-28,Department of Infrastructure Transport Regional Development and Local Government
10116,120000.0,SMS Consulting Group Ltd,2008-07-28,Department of Infrastructure Transport Regional Development and Local Government
10118,260000.0,Peoplebank Australia Ltd,2008-07-28,Department of Infrastructure Transport Regional Development and Local Government
10120,160000.01,OAKTON AA SERVICES PTY LTD,2008-07-28,Department of Infrastructure Transport Regional Development and Local Government
10122,35000.0,SMS Consulting Group Ltd,2008-07-28,Department of Infrastructure Transport Regional Development and Local Government
10124,88000.0,Porter Novelli Australia P/L,2008-07-28,Department of Infrastructure Transport Regional Development and Local Government
10126,209000.0,SMS Consulting Group Ltd,2008-07-28,Department of Infrastructure Transport Regional Development and Local Government
10128,12450.0,FUJI XEROX AUSTRALIA PTY LTD,2008-07-28,Department of Infrastructure Transport Regional Development and Local Government
10131,50963.79,Centrelink,2008-07-28,Department of Infrastructure Transport Regional Development and Local Government
10133,11989.51,AUST GOVT SOLICITOR-CENTRAL OFF,2008-07-28,Department of Infrastructure Transport Regional Development and Local Government
10137,22126.13,LeasePlan Australia Ltd,2008-07-28,Department of Infrastructure Transport Regional Development and Local Government
10139,20100.0,Hays Specialist Recruitment (AUST),2008-07-28,Department of Infrastructure Transport Regional Development and Local Government
12709,17999.99,Hays Specialist Recruitment (AUST),2008-08-04,Department of Infrastructure Transport Regional Development and Local Government
12711,300000.0,SOUTHERN CROSS COMPUTING PTY LTD,2008-08-04,Department of Infrastructure Transport Regional Development and Local Government
12713,12144.0,Hedloc Pty Ltd,2008-08-04,Department of Infrastructure Transport Regional Development and Local Government
12715,110000.0,INNOGENCE,2008-08-04,Department of Infrastructure Transport Regional Development and Local Government
12717,110000.0,The Trustee for ANTZ Services Trust,2008-08-04,Department of Infrastructure Transport Regional Development and Local Government
12719,100000.0,Porter Novelli Australia P/L,2008-08-04,Department of Infrastructure Transport Regional Development and Local Government
12721,16500.0,AUST GOVT SOLICITOR-CENTRAL OFF,2008-08-04,Department of Infrastructure Transport Regional Development and Local Government
12724,11000.0,AUST GOVT SOLICITOR-CENTRAL OFF,2008-08-04,Department of Infrastructure Transport Regional Development and Local Government
12726,10000.0,Hays Specialist Recruitment (AUST),2008-08-04,Department of Infrastructure Transport Regional Development and Local Government
12728,100616.46,"HILL, MILTON",2008-08-04,Department of Infrastructure Transport Regional Development and Local Government
12730,70000.15,Australian Associated Press Pty Ltd,2008-08-04,Department of Infrastructure Transport Regional Development and Local Government
12732,19800.0,Hobsons Australia Pty Ltd,2008-08-04,Department of Infrastructure Transport Regional Development and Local Government
12734,10494.0,GRADUATE CAREERS AUSTRALIA LIMITED,2008-08-04,Department of Infrastructure Transport Regional Development and Local Government
12736,22000.0,XTEK LIMITED,2008-08-04,Department of Infrastructure Transport Regional Development and Local Government
16897,20388.09,HMA Blaze Pty Ltd,2008-08-11,Department of Infrastructure Transport Regional Development and Local Government
16899,21400.5,LJ Hooker Canberra City,2008-08-11,Department of Infrastructure Transport Regional Development and Local Government
16901,24600.4,"DE ROTA, SHARON LEA",2008-08-11,Department of Infrastructure Transport Regional Development and Local Government
16903,20350.0,Informa Australia Pty Ltd,2008-08-11,Department of Infrastructure Transport Regional Development and Local Government
16905,10000.0,AUST GOVT SOLICITOR-CENTRAL OFF,2008-08-11,Department of Infrastructure Transport Regional Development and Local Government
16907,220000.0,SME GATEWAY LTD,2008-08-11,Department of Infrastructure Transport Regional Development and Local Government
16909,10003.4,Pirion Logistics Pty Ltd,2008-08-11,Department of Infrastructure Transport Regional Development and Local Government
16911,25213.9,FUJI XEROX AUSTRALIA PTY LTD,2008-08-11,Department of Infrastructure Transport Regional Development and Local Government
16913,25213.9,FUJI XEROX AUSTRALIA PTY LTD,2008-08-11,Department of Infrastructure Transport Regional Development and Local Government
16916,45302.4,Hays Specialist Recruitment (AUST),2008-08-11,Department of Infrastructure Transport Regional Development and Local Government
16918,18000.0,Hudson Global Resources (Aust) P/L,2008-08-11,Department of Infrastructure Transport Regional Development and Local Government
16920,80000.0,AUST GOVT SOLICITOR-CENTRAL OFF,2008-08-11,Department of Infrastructure Transport Regional Development and Local Government
16922,11324.5,AUST GOVT SOLICITOR-CENTRAL OFF,2008-08-11,Department of Infrastructure Transport Regional Development and Local Government
16924,23100.0,Design Direction,2008-08-11,Department of Infrastructure Transport Regional Development and Local Government
16926,33926.25,AUST GOVT SOLICITOR-CENTRAL OFF,2008-08-11,Department of Infrastructure Transport Regional Development and Local Government
16928,14274.98,Collective Resources IT Recruitment,2008-08-11,Department of Infrastructure Transport Regional Development and Local Government
16930,18452.5,SMS Consulting Group Ltd,2008-08-11,Department of Infrastructure Transport Regional Development and Local Government
16932,54710.26,AUST GOVT SOLICITOR-CENTRAL OFF,2008-08-11,Department of Infrastructure Transport Regional Development and Local Government
20801,12100.0,Intelligent Risks Pty Ltd,2008-08-18,Department of Infrastructure Transport Regional Development and Local Government
20803,33296.7,SHIFTWORK SOLUTIONS PTY LTD,2008-08-18,Department of Infrastructure Transport Regional Development and Local Government
20805,33388.74,LeasePlan Australia Ltd,2008-08-18,Department of Infrastructure Transport Regional Development and Local Government
20807,34500.0,MARCUS HERMAWAN,2008-08-18,Department of Infrastructure Transport Regional Development and Local Government
20810,34500.0,ALEIK NURWAHYUDY,2008-08-18,Department of Infrastructure Transport Regional Development and Local Government
20813,28532.15,WALTER & TURNBULL  PTY LTD,2008-08-18,Department of Infrastructure Transport Regional Development and Local Government
20815,25426.2,WALTER & TURNBULL  PTY LTD,2008-08-18,Department of Infrastructure Transport Regional Development and Local Government
20817,54833.24,Hays Specialist Recruitment (AUST),2008-08-18,Department of Infrastructure Transport Regional Development and Local Government
20818,12368.4,Hays Specialist Recruitment (AUST),2008-08-18,Department of Infrastructure Transport Regional Development and Local Government
20819,300000.0,SOUTHERN CROSS COMPUTING PTY LTD,2008-08-18,Department of Infrastructure Transport Regional Development and Local Government
20820,30800.0,BLUE STAR PRINT GROUP AUSTRALIA PTY,2008-08-18,Department of Infrastructure Transport Regional Development and Local Government
20821,100000.0,Zoo Communications Pty Ltd,2008-08-18,Department of Infrastructure Transport Regional Development and Local Government
20822,29990.0,ALTITUDE AVIATION PTY. LTD.,2008-08-18,Department of Infrastructure Transport Regional Development and Local Government
20823,15279.0,Vedior Asia Pacific Pty Limited,2008-08-18,Department of Infrastructure Transport Regional Development and Local Government
20825,10326.0,MULPHA HOTEL PTY LTD T/A,2008-08-18,Department of Infrastructure Transport Regional Development and Local Government
20826,10500.0,DLA PHILLIPS FOX,2008-08-18,Department of Infrastructure Transport Regional Development and Local Government
20827,18110.0,SMS Consulting Group Ltd,2008-08-18,Department of Infrastructure Transport Regional Development and Local Government
20828,14544.2,Peoplebank Australia Ltd,2008-08-18,Department of Infrastructure Transport Regional Development and Local Government
20829,24744.5,ROBERT BARNETT & ASSOCIATES,2008-08-18,Department of Infrastructure Transport Regional Development and Local Government
23286,22596.2,SYDNEY AIRPORT CORPORATION,2008-08-25,Department of Infrastructure Transport Regional Development and Local Government
23290,77500.01,AUST GOVT SOLICITOR-CENTRAL OFF,2008-08-25,Department of Infrastructure Transport Regional Development and Local Government
23292,60000.0,Ross Human Directions Ltd,2008-08-25,Department of Infrastructure Transport Regional Development and Local Government
23294,28300.0,Ross Human Directions Ltd,2008-08-25,Department of Infrastructure Transport Regional Development and Local Government
23296,41000.0,Hudson Global Resources (Aust) P/L,2008-08-25,Department of Infrastructure Transport Regional Development and Local Government
23298,17500.0,SWELL DESIGN GROUP PTY LTD,2008-08-25,Department of Infrastructure Transport Regional Development and Local Government
23300,19030.0,WHALEN IMAGE SOLUTIONS,2008-08-25,Department of Infrastructure Transport Regional Development and Local Government
23302,37898.7,Hays Specialist Recruitment (AUST),2008-08-25,Department of Infrastructure Transport Regional Development and Local Government
23304,11211.2,THE EXHIBITION CENTRE PTY LTD,2008-08-25,Department of Infrastructure Transport Regional Development and Local Government
23306,41232.87,PRECISION METALS QUEANBEYAN PTY LTD,2008-08-25,Department of Infrastructure Transport Regional Development and Local Government
23308,13646.0,The Trustee for Thinkplace,2008-08-25,Department of Infrastructure Transport Regional Development and Local Government
23311,11822.8,Centre for Asia Pacific Aviation,2008-08-25,Department of Infrastructure Transport Regional Development and Local Government
23313,42149.8,Deloitte Touche Tohmatsu,2008-08-25,Department of Infrastructure Transport Regional Development and Local Government
23315,28556.01,AUST GOVT SOLICITOR-CENTRAL OFF,2008-08-25,Department of Infrastructure Transport Regional Development and Local Government
28309,23439.88,Qantas,2008-09-02,Department of Infrastructure Transport Regional Development and Local Government
28311,13424.88,Singapore Airlines,2008-09-02,Department of Infrastructure Transport Regional Development and Local Government
30183,191274.0,AMS Advanced Maintenance Systems Ltd.,2008-09-08,Department of Infrastructure Transport Regional Development and Local Government
30186,125492.5,AMS Advanced Maintenance Systems Ltd.,2008-09-08,Department of Infrastructure Transport Regional Development and Local Government
30202,14382.58,"Brijot Imaging Systems, Inc.",2008-09-08,Department of Infrastructure Transport Regional Development and Local Government
30204,12327.92,"Brijot Imaging Systems, Inc.",2008-09-08,Department of Infrastructure Transport Regional Development and Local Government
30209,10899.74,Sustainable Development Solutions,2008-09-08,Department of Infrastructure Transport Regional Development and Local Government
30212,47818.5,AMS Advanced Maintenance Systems Ltd.,2008-09-08,Department of Infrastructure Transport Regional Development and Local Government
30213,17927.5,AMS Advanced Maintenance Systems Ltd.,2008-09-08,Department of Infrastructure Transport Regional Development and Local Government
30215,12247.13,OAG Worldwide Ltd,2008-09-08,Department of Infrastructure Transport Regional Development and Local Government
31810,14376.55,MINTER ELLISON LAWYERS,2008-09-09,Department of Infrastructure Transport Regional Development and Local Government
31812,22000.0,APELBAUM CONSULTING GROUP PTY LTD,2008-09-09,Department of Infrastructure Transport Regional Development and Local Government
31814,260000.0,OAKTON AA SERVICES PTY LTD,2008-09-09,Department of Infrastructure Transport Regional Development and Local Government
31818,32000.0,OAKTON AA SERVICES PTY LTD,2008-09-09,Department of Infrastructure Transport Regional Development and Local Government
31820,22500.01,Australian Management Control Pty L,2008-09-09,Department of Infrastructure Transport Regional Development and Local Government
31822,25445.2,LeasePlan Australia Ltd,2008-09-09,Department of Infrastructure Transport Regional Development and Local Government
31826,19602.0,Cinden Lester Communications,2008-09-09,Department of Infrastructure Transport Regional Development and Local Government
31828,76230.0,PRICEWATERHOUSECOOPERS,2008-09-09,Department of Infrastructure Transport Regional Development and Local Government
31830,38500.0,CAREERS UNLIMITED PTY LTD,2008-09-09,Department of Infrastructure Transport Regional Development and Local Government
31831,27584.7,LeasePlan Australia Ltd,2008-09-09,Department of Infrastructure Transport Regional Development and Local Government
31832,25027.2,LeasePlan Australia Ltd,2008-09-09,Department of Infrastructure Transport Regional Development and Local Government
31833,66550.0,BOOZ AND COMPANY (AUST) PTY LTD,2008-09-09,Department of Infrastructure Transport Regional Development and Local Government
31834,88396.0,MILLER AVIATION PARTNERS PTY LTD,2008-09-09,Department of Infrastructure Transport Regional Development and Local Government
31836,12870.0,Hays Specialist Recruitment (AUST),2008-09-09,Department of Infrastructure Transport Regional Development and Local Government
31838,57443.1,HUMPHREYS REYNOLDS PERKINS PTY LTD,2008-09-09,Department of Infrastructure Transport Regional Development and Local Government
31840,39468.0,MAUNSELL AUSTRALIA PTY LTD,2008-09-09,Department of Infrastructure Transport Regional Development and Local Government
31841,38830.0,THE TRUSTEE FOR ACCESS ECONOMICS TR,2008-09-09,Department of Infrastructure Transport Regional Development and Local Government
31843,27500.0,SMS Consulting Group Ltd,2008-09-09,Department of Infrastructure Transport Regional Development and Local Government
31844,11790.0,DEPARTMENT OF IMMIGRATION &,2008-09-09,Department of Infrastructure Transport Regional Development and Local Government
31846,17166.64,Informa Australia Pty Ltd,2008-09-09,Department of Infrastructure Transport Regional Development and Local Government
31847,21000.0,Hudson Global Resources (Aust) P/L,2008-09-09,Department of Infrastructure Transport Regional Development and Local Government
31848,45965.92,MINTER ELLISON LAWYERS,2008-09-09,Department of Infrastructure Transport Regional Development and Local Government
31849,181912.5,ISIS PROJECTS PTY LTD,2008-09-09,Department of Infrastructure Transport Regional Development and Local Government
31850,45000.0,DATA ANALYSIS AUSTRALIA,2008-09-09,Department of Infrastructure Transport Regional Development and Local Government
31851,25000.0,ARRB Group Ltd,2008-09-09,Department of Infrastructure Transport Regional Development and Local Government
31853,36674.0,Philip Chun & Associates Pty Ltd,2008-09-09,Department of Infrastructure Transport Regional Development and Local Government
31856,42797.7,HMA Blaze Pty Ltd,2008-09-09,Department of Infrastructure Transport Regional Development and Local Government
31858,30020.1,LeasePlan Australia Ltd,2008-09-09,Department of Infrastructure Transport Regional Development and Local Government
31860,19800.0,Hudson Global Resources (Aust) P/L,2008-09-09,Department of Infrastructure Transport Regional Development and Local Government
31862,33000.0,SME GATEWAY LTD,2008-09-09,Department of Infrastructure Transport Regional Development and Local Government
31864,34000.0,SME GATEWAY LTD,2008-09-09,Department of Infrastructure Transport Regional Development and Local Government
31866,26000.0,STRATAGEM COMPUTER CONTRACTORS,2008-09-09,Department of Infrastructure Transport Regional Development and Local Government
31868,40000.0,STRATAGEM COMPUTER CONTRACTORS,2008-09-09,Department of Infrastructure Transport Regional Development and Local Government
31870,31110.2,LeasePlan Australia Ltd,2008-09-09,Department of Infrastructure Transport Regional Development and Local Government
31873,204362.0,AUSTRALIAN NUCLEAR SCIENCE &,2008-09-09,Department of Infrastructure Transport Regional Development and Local Government
31875,67430.0,SMS Consulting Group Ltd,2008-09-09,Department of Infrastructure Transport Regional Development and Local Government
31909,16250.0,Green Light Limited,2008-09-09,Department of Infrastructure Transport Regional Development and Local Government
31925,43612.88,American Science & Engineering,2008-09-09,Department of Infrastructure Transport Regional Development and Local Government
31930,19288.9,Flight Explorer,2008-09-09,Department of Infrastructure Transport Regional Development and Local Government
31978,35855.0,AMS Advanced Maintenance Systems Ltd.,2008-09-09,Department of Infrastructure Transport Regional Development and Local Government
31980,46635.42,Grantium Inc,2008-09-09,Department of Infrastructure Transport Regional Development and Local Government
31982,13817.09,Janes Information Group Ltd,2008-09-09,Department of Infrastructure Transport Regional Development and Local Government
31984,245800.0,Nuctech Company Limited,2008-09-09,Department of Infrastructure Transport Regional Development and Local Government
31986,27892.56,Mr John Martin Abott,2008-09-09,Department of Infrastructure Transport Regional Development and Local Government
35076,21879.21,LeasePlan Australia Ltd,2008-09-15,Department of Infrastructure Transport Regional Development and Local Government
35079,14454.0,Hyro Solutions Pty Ltd,2008-09-15,Department of Infrastructure Transport Regional Development and Local Government
35081,22000.0,AUST GOVT SOLICITOR-CENTRAL OFF,2008-09-15,Department of Infrastructure Transport Regional Development and Local Government
35083,39900.0,BLUE STAR PRINT GROUP AUSTRALIA PTY,2008-09-15,Department of Infrastructure Transport Regional Development and Local Government
35085,45500.0,DLA PHILLIPS FOX,2008-09-15,Department of Infrastructure Transport Regional Development and Local Government
35087,39657.2,FUJI XEROX AUSTRALIA PTY LTD,2008-09-15,Department of Infrastructure Transport Regional Development and Local Government
35088,40000.0,MINTER ELLISON LAWYERS,2008-09-15,Department of Infrastructure Transport Regional Development and Local Government
35090,24427.0,FUJI XEROX AUSTRALIA PTY LTD,2008-09-15,Department of Infrastructure Transport Regional Development and Local Government
35092,27699.0,FUJI XEROX AUSTRALIA PTY LTD,2008-09-15,Department of Infrastructure Transport Regional Development and Local Government
35094,24427.0,FUJI XEROX AUSTRALIA PTY LTD,2008-09-15,Department of Infrastructure Transport Regional Development and Local Government
35096,27826.0,FUJI XEROX AUSTRALIA PTY LTD,2008-09-15,Department of Infrastructure Transport Regional Development and Local Government
35099,2140000.0,Westralia Airports Corp P/L,2008-09-15,Department of Infrastructure Transport Regional Development and Local Government
40448,176000.0,Philippa May Horner,2008-09-22,Department of Infrastructure Transport Regional Development and Local Government
40450,13618.0,ESRI Australia Pty Ltd,2008-09-22,Department of Infrastructure Transport Regional Development and Local Government
40452,500000.0,HMA Blaze Pty Ltd,2008-09-22,Department of Infrastructure Transport Regional Development and Local Government
40454,30477.22,LeasePlan Australia Ltd,2008-09-22,Department of Infrastructure Transport Regional Development and Local Government
40456,11000.0,Clayton Utz Canberra,2008-09-22,Department of Infrastructure Transport Regional Development and Local Government
40459,13860.0,PROFESSOR DUDLEY CECIL CREAGH,2008-09-22,Department of Infrastructure Transport Regional Development and Local Government
40461,10000.0,AUST GOVT SOLICITOR-CENTRAL OFF,2008-09-22,Department of Infrastructure Transport Regional Development and Local Government
40463,11000.0,AUST GOVT SOLICITOR-CENTRAL OFF,2008-09-22,Department of Infrastructure Transport Regional Development and Local Government
42815,155000.0,JEBEL CONSULTANT GROUP PTY LTD,2008-09-29,Department of Infrastructure Transport Regional Development and Local Government
42817,10000.0,MINTER ELLISON LAWYERS,2008-09-29,Department of Infrastructure Transport Regional Development and Local Government
42818,30000.0,Hays Specialist Recruitment (AUST),2008-09-29,Department of Infrastructure Transport Regional Development and Local Government
42819,13998.6,STRATAGEM COMPUTER CONTRACTORS,2008-09-29,Department of Infrastructure Transport Regional Development and Local Government
42820,200000.0,MINTER ELLISON LAWYERS,2008-09-29,Department of Infrastructure Transport Regional Development and Local Government
42822,14454.0,Hyro Solutions Pty Ltd,2008-09-29,Department of Infrastructure Transport Regional Development and Local Government
42823,15000.0,DLA PHILLIPS FOX,2008-09-29,Department of Infrastructure Transport Regional Development and Local Government
42825,15000.0,Clayton Utz Canberra,2008-09-29,Department of Infrastructure Transport Regional Development and Local Government
42827,25000.0,AUST GOVT SOLICITOR-CENTRAL OFF,2008-09-29,Department of Infrastructure Transport Regional Development and Local Government
42829,100000.0,Porter Novelli Australia P/L,2008-09-29,Department of Infrastructure Transport Regional Development and Local Government
42831,31853.25,Hays Specialist Recruitment (AUST),2008-09-29,Department of Infrastructure Transport Regional Development and Local Government
42834,12368.4,Hays Specialist Recruitment (AUST),2008-09-29,Department of Infrastructure Transport Regional Development and Local Government
42836,16000.0,WALTER & TURNBULL  PTY LTD,2008-09-29,Department of Infrastructure Transport Regional Development and Local Government
42838,450000.0,Dimension Data Australia Pty Ltd,2008-09-29,Department of Infrastructure Transport Regional Development and Local Government
42840,140000.0,ESARESS AUSTRALIA PTY LTD,2008-09-29,Department of Infrastructure Transport Regional Development and Local Government
42842,17600.0,Australian National University,2008-09-29,Department of Infrastructure Transport Regional Development and Local Government
42844,35100.0,HUDSON GLOBAL RESOURCES,2008-09-29,Department of Infrastructure Transport Regional Development and Local Government
42846,20000.0,KOWALSKI RECRUITMENT PTY LTD,2008-09-29,Department of Infrastructure Transport Regional Development and Local Government
43115,19503.53,National Institute of Technology and Evaluation,2008-09-29,Department of Infrastructure Transport Regional Development and Local Government
43125,34548.73,OECD,2008-09-29,Department of Infrastructure Transport Regional Development and Local Government
43129,18074.0,Ashcote Consulting Limited,2008-09-29,Department of Infrastructure Transport Regional Development and Local Government
43135,80000.0,Secretariat of the Pacific Community,2008-09-29,Department of Infrastructure Transport Regional Development and Local Government
43137,45000.0,Secretariat of the Pacific Community,2008-09-29,Department of Infrastructure Transport Regional Development and Local Government
43141,12125.86,Department of Transportation,2008-09-29,Department of Infrastructure Transport Regional Development and Local Government
43144,27800.0,ICAO,2008-09-29,Department of Infrastructure Transport Regional Development and Local Government
43146,22211.0,Ashcote Consulting Limited,2008-09-29,Department of Infrastructure Transport Regional Development and Local Government
43150,37033.12,ICAO,2008-09-29,Department of Infrastructure Transport Regional Development and Local Government
43153,119546.25,AMS Advanced Maintenance Systems Ltd.,2008-09-29,Department of Infrastructure Transport Regional Development and Local Government
43160,25175.91,Commonwealth Local Govt Forum,2008-09-29,Department of Infrastructure Transport Regional Development and Local Government
43161,11323.0,Ashcote Consulting Limited,2008-09-29,Department of Infrastructure Transport Regional Development and Local Government
43168,11131.1,Sustainable Development Solutions,2008-09-29,Department of Infrastructure Transport Regional Development and Local Government
43169,119546.25,AMS Advanced Maintenance Systems Ltd.,2008-09-29,Department of Infrastructure Transport Regional Development and Local Government
43173,50000.0,Secretariat of the Pacific Community,2008-09-29,Department of Infrastructure Transport Regional Development and Local Government
47414,18449.94,CONVERGA PTY LTD,2008-10-07,Department of Infrastructure Transport Regional Development and Local Government
47416,32392.86,CONVERGA PTY LTD,2008-10-07,Department of Infrastructure Transport Regional Development and Local Government
47418,23438.48,TELSTRA,2008-10-07,Department of Infrastructure Transport Regional Development and Local Government
47420,625742.67,United Group Services Pty Ltd,2008-10-07,Department of Infrastructure Transport Regional Development and Local Government
47422,20649.12,CONVERGA PTY LTD,2008-10-07,Department of Infrastructure Transport Regional Development and Local Government
47424,18449.94,CONVERGA PTY LTD,2008-10-07,Department of Infrastructure Transport Regional Development and Local Government
47427,106134.0,United Group Services Pty Ltd,2008-10-07,Department of Infrastructure Transport Regional Development and Local Government
47429,1707447.29,United Group Services Pty Ltd,2008-10-07,Department of Infrastructure Transport Regional Development and Local Government
47431,24783.78,TELSTRA,2008-10-07,Department of Infrastructure Transport Regional Development and Local Government
47433,44132.54,IRON MOUNTAIN AUSTRALIA PTY LTD,2008-10-07,Department of Infrastructure Transport Regional Development and Local Government
47435,106134.0,United Group Services Pty Ltd,2008-10-07,Department of Infrastructure Transport Regional Development and Local Government
47437,599817.94,United Group Services Pty Ltd,2008-10-07,Department of Infrastructure Transport Regional Development and Local Government
47439,1745463.61,United Group Services Pty Ltd,2008-10-07,Department of Infrastructure Transport Regional Development and Local Government
47441,15111.92,OPTUS BILLING SERVICES PTY LTD,2008-10-07,Department of Infrastructure Transport Regional Development and Local Government
47442,29950.02,IRON MOUNTAIN AUSTRALIA PTY LTD,2008-10-07,Department of Infrastructure Transport Regional Development and Local Government
47444,37000.0,Ross Human Directions Ltd,2008-10-07,Department of Infrastructure Transport Regional Development and Local Government
47447,35689.37,LeasePlan Australia Ltd,2008-10-07,Department of Infrastructure Transport Regional Development and Local Government
47449,63940.0,FUJI XEROX AUSTRALIA PTY LTD,2008-10-07,Department of Infrastructure Transport Regional Development and Local Government
47451,55000.0,GMT Canberra Pty Ltd,2008-10-07,Department of Infrastructure Transport Regional Development and Local Government
47453,35000.0,BG HOTELS (CAIRNS) PTY LTD,2008-10-07,Department of Infrastructure Transport Regional Development and Local Government
47455,22000.0,Kit Filor,2008-10-07,Department of Infrastructure Transport Regional Development and Local Government
47456,70675.0,Meyrick Consulting Group Pty Ltd,2008-10-07,Department of Infrastructure Transport Regional Development and Local Government
47458,16940.0,Intelligent Risks Pty Ltd,2008-10-07,Department of Infrastructure Transport Regional Development and Local Government
47460,37400.0,Paul McGrath,2008-10-07,Department of Infrastructure Transport Regional Development and Local Government
47462,21313.93,TELSTRA,2008-10-07,Department of Infrastructure Transport Regional Development and Local Government
47464,106134.0,United Group Services Pty Ltd,2008-10-07,Department of Infrastructure Transport Regional Development and Local Government
47468,1401184.73,United Group Services Pty Ltd,2008-10-07,Department of Infrastructure Transport Regional Development and Local Government
